glean_name,metric_type,expiration,description,search_metric,legacy_correspondent
browser.engagement.navigation.searchbar Firefox :: Search,labeled_counter,never,"The count URI loads triggered in a subsession from the searchbar, broken down by the originating action. This metric was generated to correspond to the Legacy Telemetry scalar browser.engagement.navigation.searchbar.",1,
browser.engagement.navigation.urlbar_searchmode Firefox :: Search,labeled_counter,never,"The count URI loads triggered in a subsession from the urlbar's search mode, broken down by the originating action. This metric was generated to correspond to the Legacy Telemetry scalar browser.engagement.navigation.urlbar_searchmode.",,
browser.search.adclicks.about_home Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from about:home. The key format is ‘:<tagged|organic>’ See https://firefox-source- docs.mozilla.org/browser/search/telemetry.html#browser-search- content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.about_home.",,
browser.search.adclicks.about_newtab Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from about:newtab. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.about_newtab.",,
browser.search.adclicks.contextmenu Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from the context menu. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.contextmenu.",,
browser.search.adclicks.contextmenu_visual Firefox :: Search,labeled_counter,never,"Records clicks of adverts on visual-search SERP pages where the search was started from the context menu. The key format is the same as for the contextmenu labeled counter.",,
browser.search.adclicks.reload Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was loaded by reloading the page. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.reload.",,
browser.search.adclicks.searchbar Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from the search bar. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.searchbar.",,
browser.search.adclicks.system Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from the system, e.g. command line. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.system.",,
browser.search.adclicks.tabhistory Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was loaded from the tab history. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.tabhistory.",,
browser.search.adclicks.unknown Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from a place not categorized by the other scalars. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.unknown.",,
browser.search.adclicks.urlbar Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from the urlbar. The key format is ‘:<tagged|organic>’ See https://firefox-source- docs.mozilla.org/browser/search/telemetry.html#browser-search- content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.urlbar.",,
browser.search.adclicks.urlbar_handoff Firefox :: Search,labeled_counter,never,"The count URI loads triggered in a subsession from the urlbar via handoff, broken down by the originating action. This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.urlbar_handoff.",,
browser.search.adclicks.urlbar_persisted Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from the urlbar after the search term was shown in the urlbar. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.urlbar_persisted.",,
browser.search.adclicks.urlbar_searchmode Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from the urlbar in search mode. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.urlbar_searchmode.",,
browser.search.adclicks.webextension Firefox :: Search,labeled_counter,never,"Records clicks of adverts on SERP pages where the search was started from a webextension. The key format is ‘:<tagged|organic>’ See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.adclicks.webextension.",,
browser.search.content.about_home Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from the about:home. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.about_home.",,
browser.search.content.about_newtab Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from the about:newtab. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.about_newtab.",,
browser.search.content.contextmenu Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from the context menu. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.contextmenu.",,
browser.search.content.contextmenu_visual Firefox :: Search,labeled_counter,never,"Records counts for in-content visual searches where the search was most likely started from the context menu. The key format is the same as for the contextmenu labeled counter.",,
browser.search.content.reload Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was loaded by reloading the page. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.reload.",,
browser.search.content.searchbar Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from the search bar. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.searchbar.",,
browser.search.content.system Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from the system, e.g. command line. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.system.",,
browser.search.content.tabhistory Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was loaded from the tab history. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.tabhistory.",,
browser.search.content.unknown Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was started from a place that could not be determined or not categorized by the other scalars. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.unknown.",,
browser.search.content.urlbar Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from the urlbar. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.urlbar.",,
browser.search.content.urlbar_handoff Firefox :: Search,labeled_counter,never,"The count URI loads triggered in a subsession from the urlbar via handoff, broken down by the originating action. This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.urlbar_handoff.",,
browser.search.content.urlbar_persisted Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from the urlbar after the search term was shown in the urlbar. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.urlbar_persisted.",,
browser.search.content.urlbar_searchmode Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from the urlbar in search mode. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.urlbar_searchmode.",,
browser.search.content.webextension Firefox :: Search,labeled_counter,never,"Records counts for in-content searches where the search was most likely started from a webextension. The key format is :[tagged|tagged-follow-on|organic]:[code|other|none] See https://firefox-source-docs.mozilla.org/browser/search/telemetry.html#browser-search-content This metric was generated to correspond to the Legacy Telemetry scalar browser.search.content.webextension.",,
